BaciaCodigo,SubBaciaCodigo,RioCodigo,RioNome,nmEstado,nmMunicipio,ResponsavelSigla,Codigo,Nome,Latitude,Longitude,Altitude,AreaDrenagem,PeriodoTelemetricaInicio,PeriodoTelemetricaFim,Operando,TipoEstacao,TemChuva
4,49,,,ALAGOAS,SÃO BRÁS,SUDENE,936116,GORDILHO DE CASTRO,-9.9167,-36.8,150,,,,0,2,Sim
3,39,,,ALAGOAS,QUEBRANGULO,ANA,936121,VILA SÃO FRANCISCO,-9.3664,-36.4194,,,2025-05-01 00:00:00,,1,2,Sim
3,39,,,ALAGOAS,CAJUEIRO,SEMARH-AL,936122,CAJUEIRO,-9.3756,-36.1608,,,2012-02-01 00:00:00,2022-07-01 00:00:00,0,2,Não
3,39,,,ALAGOAS,PAULO JACINTO,SEMARH-AL,936123,PAULO JACINTO,-9.3686,-36.3747,,,2012-05-01 00:00:00,2024-12-01 00:00:00,0,2,Não
3,39,,,ALAGOAS,CAPELA,SEMARH-AL,936124,CAPELA,-9.2878,-36.135,,,2012-05-01 00:00:00,2024-12-01 00:00:00,0,2,Não
3,39,,,ALAGOAS,LIMOEIRO DE ANADIA,ANA,936126,LIMOEIRO DE ANADIA,-9.7436,-36.5039,,,2012-08-01 00:00:00,2022-07-01 00:00:00,0,2,Não
3,39,,,ALAGOAS,UNIÃO DOS PALMARES,ANA,936127,USINA LAGINHA,-9.1831,-36.0436,137,,2010-11-01 00:00:00,2019-10-01 00:00:00,0,2,Não
3,39,,,ALAGOAS,BRANQUINHA,CEMADEN,936129,BRANQUINHA_Branquinha01,-9.248,-36.014,122,,2014-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,CAPELA,CEMADEN,936130,CAPELA_Capela01,-9.413,-36.077,81,,2014-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,PAULO JACINTO,CEMADEN,936131,PAULO JACINTO_PauloJacinto01,-9.371,-36.372,295,,2014-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,QUEBRANGULO,CEMADEN,936132,QUEBRÂNGULO_Quebrangulo01,-9.318,-36.471,372,,2014-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,SANTANA DO MUNDAÚ,CEMADEN,936133,SANTANA DO MUNDAÚ_Centro,-9.17,-36.217,221,,2014-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,SÃO JOSÉ DA LAJE,CEMADEN,936134,SÃO JOSÉ DA LAJE_Av. Eneas Marinho,-9.007,-36.055,269,,2014-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,UNIÃO DOS PALMARES,CEMADEN,936135,UNIÃO DOS PALMARES_Centro,-9.161,-36.032,151,,2014-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,UNIÃO DOS PALMARES,CEMADEN,936136,UNIÃO DOS PALMARES_Nova Esperança,-9.152,-36.016,159,,2014-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,UNIÃO DOS PALMARES,CEMADEN,936137,UNIÃO DOS PALMARES_Muquém,-9.134,-36.052,154,,2014-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,QUEBRANGULO,SEMARH-AL,936139,VILA SÃO FRANCISCO,-9.3664,-36.4194,,,2011-06-01 00:00:00,2024-12-01 00:00:00,0,2,Não
3,39,,,ALAGOAS,SÃO MIGUEL DOS CAMP,SEMARH-AL,936140,SÃO MIGUEL DOS CAMPOS - HIDRO,-9.7781,-36.0956,,,2023-11-01 00:00:00,,1,2,Sim
4,49,,,ALAGOAS,JARAMATAIA,SEMARH-AL,936141,JARAMATAIA,-9.6597,-37.0008,,,2023-01-01 00:00:00,,1,2,Sim
4,49,,,ALAGOAS,SÃO SEBASTIÃO,SEMARH-AL,936142,SÃO SEBASTIÃO,-9.9281,-36.5425,,,2023-08-01 00:00:00,,1,2,Sim
3,39,,,ALAGOAS,TAQUARANA,SEMARH-AL,936143,TAQUARANA,-9.6469,-36.4931,,,2024-01-01 00:00:00,,1,2,Sim
4,49,,,ALAGOAS,TRAIPU,SEMARH-AL,936144,TRAIPÚ,-9.9561,-36.9917,,,2023-09-01 00:00:00,,1,2,Sim
3,39,,,ALAGOAS,CHÃ PRETA,SEMARH-AL,936150,CHÃ PRETA - MET,-9.2569,-36.3047,,,2025-01-01 00:00:00,,1,2,Não
4,49,,,ALAGOAS,MINADOR DO NEGRÃO,SEMARH-AL,936151,MINADOR DO NEGRÃO,-9.3014,-36.8894,,,2025-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,CAJUEIRO,SEMARH-AL,936152,CAJUEIRO - HIDRO,-9.3969,-36.1506,,,2025-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,MAR VERMELHO,SEMARH-AL,936153,Mar Vermelho,-9.4522,-36.3975,,,2025-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,IGACI,SEMARH-AL,936154,IGACI,-9.5294,-36.6325,,,2025-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,TANQUE D'ARCA,SEMARH-AL,936155,TANQUE D'ARCA,-9.5372,-36.4264,,,2025-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,BELÉM,SEMARH-AL,936156,BELÉM,-9.5733,-36.495,,,2025-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,MARIBONDO,SEMARH-AL,936157,MARIBONDO,-9.5983,-36.3086,,,2025-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,COITE DO NOIA,SEMARH-AL,936158,COITÉ DO NÓIA,-9.6361,-36.5767,,,2025-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,BOCA DA MATA,SEMARH-AL,936159,BOCA DA MATA,-9.6408,-36.2089,,,2025-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,CAMPO ALEGRE,SEMARH-AL,936160,CAMPO ALEGRE,-9.7831,-36.3425,,,2025-01-01 00:00:00,,1,2,Não
4,49,,,ALAGOAS,LAGOA DA CANOA,SEMARH-AL,936161,LAGOA DA CANOA,-9.8208,-36.7319,,,2025-01-01 00:00:00,,1,2,Não
4,49,,,ALAGOAS,FEIRA GRANDE,SEMARH-AL,936162,FEIRA GRANDE,-9.8917,-36.6739,,,2025-01-01 00:00:00,,1,2,Não
3,39,,,ALAGOAS,JUNQUEIRO,SEMARH-AL,936163,Junqueiro,-9.9097,-36.4706,,,2025-01-01 00:00:00,,1,2,Não
4,49,,,ALAGOAS,CAMPO GRANDE,SEMARH-AL,936164,CAMPO GRANDE,-9.9608,-36.7897,,,2025-01-01 00:00:00,,1,2,Não
4,49,,,ALAGOAS,CACIMBINHAS,SEMARH-AL,936166,CACIMBINHAS,-9.4022,-36.9981,,,2025-01-01 00:00:00,,1,2,Não
4,49,,,ALAGOAS,POÇO DAS TRINCHEIRA,DNOCS,937004,POÇO DAS TRINCHEIRAS,-9.2167,-37.2833,255,,,,1,2,Sim
4,49,,,ALAGOAS,SANTANA DO IPANEMA,SUDENE,937005,RIACHO GRANDE,-9.4667,-37.4667,210,,,,0,2,Sim
